Year,Player,Age,Height,Weight,Birth_State,Birth_City,Collage,Team,Pos,Salary,G,GS,PTS,MP,PER,FTr,OWS,DWS,WS,VORP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF
2017.0,Zach Randolph,35.0,206.0,117.0,Indiana,Marion,Michigan State University,MEM,PF,12307692.0,73.0,5.0,1028.0,1786.0,18.5,0.2,0.8,2.4,3.2,0.0,433.0,964.0,21.0,94.0,412.0,870.0,141.0,193.0,182.0,416.0,598.0,122.0,38.0,10.0,99.0,136.0
2017.0,Manu Ginobili,39.0,198.0,92.0,Argentina,Bahia Blanca,Unknown,SAS,SG,2500000.0,69.0,0.0,517.0,1291.0,13.9,0.244,0.6,2.4,3.0,1.3,171.0,439.0,89.0,227.0,82.0,212.0,86.0,107.0,28.0,129.0,157.0,183.0,82.0,16.0,96.0,119.0
2017.0,Nene Hilario,34.0,211.0,113.0,Brazil,Sao Carlos,Unknown,HOU,C,3477600.0,67.0,8.0,609.0,1198.0,18.9,0.496,2.5,1.6,4.1,0.8,245.0,397.0,3.0,9.0,242.0,388.0,116.0,197.0,95.0,186.0,281.0,65.0,56.0,40.0,73.0,163.0
2017.0,Carmelo Anthony,32.0,203.0,108.0,New York,New York,Syracuse University,NYK,SF,26243760.0,74.0,74.0,1659.0,2538.0,17.9,0.263,3.2,1.5,4.7,0.8,602.0,1389.0,151.0,421.0,451.0,968.0,304.0,365.0,62.0,374.0,436.0,213.0,60.0,34.0,153.0,198.0
2017.0,Leandro Barbosa,34.0,190.0,87.0,Brazil,San Paulo,Unknown,PHO,SG,500000.0,67.0,0.0,419.0,963.0,11.5,0.115,0.3,0.4,0.6,-0.5,172.0,392.0,35.0,98.0,137.0,294.0,40.0,45.0,15.0,89.0,104.0,81.0,31.0,8.0,48.0,82.0
2017.0,Matt Barnes,36.0,203.0,95.0,Rhode Island,Providence,Providence College,TOT,SF,2133542.0,74.0,18.0,527.0,1777.0,10.3,0.188,0.3,1.7,2.0,0.6,185.0,473.0,87.0,263.0,98.0,210.0,70.0,89.0,70.0,317.0,387.0,194.0,48.0,26.0,107.0,185.0
2017.0,Matt Barnes,36.0,203.0,95.0,Rhode Island,Providence,Providence College,SAC,SF,2133542.0,54.0,13.0,413.0,1367.0,10.2,0.172,-0.1,1.1,1.0,0.4,147.0,383.0,69.0,211.0,78.0,172.0,50.0,66.0,55.0,241.0,296.0,149.0,36.0,17.0,83.0,138.0
2017.0,Matt Barnes,36.0,203.0,95.0,Rhode Island,Providence,Providence College,GSW,SF,2133542.0,20.0,5.0,114.0,410.0,10.7,0.256,0.3,0.6,1.0,0.3,38.0,90.0,18.0,52.0,20.0,38.0,20.0,23.0,15.0,76.0,91.0,45.0,12.0,9.0,24.0,47.0
2017.0,Boris Diaw,34.0,203.0,113.0,France,Cormeille-en-Parisis,Unknown,UTA,PF,7000000.0,73.0,33.0,338.0,1283.0,9.0,0.107,-0.1,1.2,1.1,-0.3,146.0,327.0,20.0,81.0,126.0,246.0,26.0,35.0,46.0,112.0,158.0,170.0,18.0,9.0,87.0,83.0
2017.0,Udonis Haslem,36.0,203.0,106.0,Florida,Miami,University of Florida,MIA,C,2328652.0,17.0,0.0,31.0,130.0,8.4,0.652,0.0,0.2,0.2,-0.1,11.0,23.0,0.0,3.0,11.0,20.0,9.0,15.0,8.0,28.0,36.0,6.0,5.0,1.0,8.0,22.0
2017.0,LeBron James,32.0,203.0,113.0,Ohio,Akron,Unknown,CLE,SF,33285709.0,74.0,74.0,1954.0,2794.0,27.0,0.395,9.8,3.0,12.9,7.3,736.0,1344.0,124.0,342.0,612.0,1002.0,358.0,531.0,97.0,543.0,640.0,646.0,92.0,44.0,303.0,134.0
2017.0,James Jones,36.0,190.0,81.0,Unknown,Unknown,Assumption College,CLE,SF,1551659.0,48.0,2.0,132.0,381.0,11.3,0.217,0.6,0.2,0.8,0.0,44.0,92.0,31.0,66.0,13.0,26.0,13.0,20.0,3.0,35.0,38.0,14.0,7.0,10.0,10.0,37.0
2017.0,Kyle Korver,35.0,201.0,96.0,California,Lakewood,Creighton University,TOT,SG,7000000.0,67.0,22.0,678.0,1753.0,12.1,0.08199999999999999,2.3,1.3,3.7,0.8,239.0,515.0,162.0,359.0,77.0,156.0,38.0,42.0,8.0,179.0,187.0,110.0,34.0,21.0,69.0,107.0
2017.0,Kyle Korver,35.0,201.0,96.0,California,Lakewood,Creighton University,ATL,SG,7000000.0,32.0,21.0,305.0,894.0,10.9,0.11,0.7,0.9,1.6,0.4,108.0,246.0,65.0,159.0,43.0,87.0,24.0,27.0,1.0,89.0,90.0,75.0,23.0,13.0,40.0,47.0
2017.0,Kyle Korver,35.0,201.0,96.0,California,Lakewood,Creighton University,CLE,SG,7000000.0,35.0,1.0,373.0,859.0,13.5,0.055999999999999994,1.6,0.4,2.0,0.4,131.0,269.0,97.0,200.0,34.0,69.0,14.0,15.0,7.0,90.0,97.0,35.0,11.0,8.0,29.0,60.0
2017.0,Zaza Pachulia,32.0,211.0,122.0,Georgia,Tbilisi,Unknown,GSW,C,3477600.0,70.0,70.0,426.0,1268.0,16.1,0.41,2.2,2.5,4.7,1.5,164.0,307.0,0.0,2.0,164.0,305.0,98.0,126.0,140.0,270.0,410.0,132.0,59.0,33.0,88.0,166.0
2017.0,Dwyane Wade,35.0,193.0,99.0,Illinois,Chicago,Marquette University,CHI,SG,15550000.0,60.0,59.0,1096.0,1792.0,18.5,0.294,0.9,2.5,3.4,1.4,414.0,955.0,45.0,145.0,369.0,810.0,223.0,281.0,64.0,207.0,271.0,229.0,86.0,41.0,138.0,112.0
2017.0,David West,36.0,206.0,113.0,New Jersey,Teaneck,Xavier University,GSW,C,2328652.0,68.0,0.0,316.0,854.0,16.6,0.222,0.9,1.7,2.6,0.9,135.0,252.0,3.0,8.0,132.0,244.0,43.0,56.0,47.0,156.0,203.0,151.0,42.0,48.0,78.0,105.0
2017.0,Tony Allen,35.0,193.0,96.0,Illinois,Chicago,Oklahoma State University,MEM,SG,2116955.0,71.0,66.0,643.0,1914.0,13.3,0.218,0.2,2.9,3.1,1.3,274.0,595.0,15.0,54.0,259.0,541.0,80.0,130.0,166.0,225.0,391.0,98.0,115.0,29.0,100.0,178.0
2017.0,Trevor Ariza,31.0,203.0,97.0,Florida,Miami,"University of California, Los Angeles",HOU,SF,7420912.0,80.0,80.0,936.0,2773.0,12.3,0.158,2.8,3.2,6.0,2.6,326.0,798.0,191.0,555.0,135.0,243.0,93.0,126.0,54.0,405.0,459.0,175.0,147.0,20.0,74.0,133.0
